DATE;TIME;ZAT;OZNAKA;TIP_DOK;BR_DOK;POBROJ;MAG;IMEMAG;KOMINT;IMEKOM;DATUM;VALUTA;PLATENO;AZUR;NALOG;DOLGUVA;POBARUVA;FAKIZNOS;TRANSPORT;CARINA;UTOVAR;TROSOCI;NACINISPOR;TOVARLIST;VOZILO;PRIMIL;PORIZJAVA;MANIPUL;SIFCAR;IMECAR;SIFTRANS;IMETRANS;SIFSPED;IMESPED;DDV19;DDV5;DOK1;DOK2;DOK3;DOK4
07.11.2025;08:50:46;;;2;001419;VERO-13 limak;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;06.11.2025;05.01.2026;;;;5079,00;;4837,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;242,00;;;;
10.11.2025;10:19:06;;;2;001420;podr.ramstore city moll;100;\OR^E;971;RAMSTORE MAKEDONIJA DOO SKOPJE;06.11.2025;05.01.2026;;;;9429,50;;8980,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;449,00;;;;
10.11.2025;10:19:30;;;2;001421;ZUR market-2 dra^evo;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;07.11.2025;07.12.2025;;;;3654,00;;3480,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;174,00;;;;
07.11.2025;08:55:08;;;2;001422;ambasada;100;\OR^E;1168;TP SENDVI^ARA 7;06.11.2025;13.11.2025;;;;8798,00;;8379,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;419,00;;;;
07.11.2025;08:55:34;;;2;001423;;100;\OR^E;1028;MAKROPROM;06.11.2025;13.11.2025;;;;11730,50;;11172,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;558,50;;;;
13.11.2025;08:37:11;;;2;001424;;100;\OR^E;160;DOOEL A.M. OHRID;06.11.2025;13.11.2025;;;;10473,50;;9975,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;498,50;;;;
07.11.2025;08:57:44;;;2;001425;REPTIL-8 radi[ani;100;\OR^E;1225;REPTIL DPTU;06.11.2025;06.12.2025;;;;3654,00;;3480,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;174,00;;;;
07.11.2025;08:58:21;;;2;001426;REPTIL-10 butel;100;\OR^E;1225;REPTIL DPTU;06.11.2025;06.12.2025;;;;3780,00;;3600,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;180,00;;;;
07.11.2025;08:58:51;;;2;001427;REPTIL-3 k.voda;100;\OR^E;1225;REPTIL DPTU;06.11.2025;06.12.2025;;;;4440,00;;4228,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;211,50;;;;
10.11.2025;10:19:45;;;2;001428;DIM market-5 dra^evo;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;07.11.2025;07.12.2025;;;;5814,00;;5537,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;277,00;;;;
10.11.2025;10:20:25;;;2;001429;DIM market-8 d.lisi^e;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;07.11.2025;07.12.2025;;;;6078,00;;5788,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;289,50;;;;
13.11.2025;08:38:25;;;2;001430;DIM market s.stajkovci;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;12.11.2025;12.12.2025;;;;6927,00;;6597,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;330,00;;;;
